SWAN   1                                Swan standard spectral file, version
$   Data produced by SWAN version 41.20               
$   Project: SNLSWAN TUTORIAL;  run number: TEST
LOCATIONS                               locations in x-y-space
     3                                  number of locations
      375.0000      425.0000
      410.0000      425.0000
      425.0000      425.0000
AFREQ                                   absolute frequencies in Hz
    26                                  number of frequencies
    0.0500
    0.0548
    0.0601
    0.0659
    0.0723
    0.0792
    0.0869
    0.0953
    0.1045
    0.1145
    0.1256
    0.1377
    0.1510
    0.1656
    0.1815
    0.1991
    0.2183
    0.2393
    0.2624
    0.2877
    0.3155
    0.3459
    0.3793
    0.4159
    0.4560
    0.5000
QUANT
     3                                  number of quantities in table
EnDens                                  energy densities in J/m2/Hz
J/m2/Hz                                 unit
   -0.9900E+02                          exception value
CDIR                                    average Cartesian direction in degr
degr                                    unit
   -0.9990E+03                          exception value
DSPRDEGR                                directional spreading                   
degr                                    unit
   -0.9000E+01                          exception value
LOCATION     1
 -0.9900E+02 -999.0   -9.0
 -0.9900E+02 -999.0   -9.0
  0.2787E+02    0.0   12.4
  0.3359E+03  360.0   12.4
  0.1632E+04    0.0   12.4
  0.4225E+04  360.0   12.4
  0.7080E+04  360.0   12.4
  0.8781E+04    0.0   12.4
  0.8843E+04  360.0   12.4
  0.7710E+04    0.0   12.4
  0.6085E+04  360.0   12.4
  0.4482E+04    0.0   12.4
  0.3148E+04  360.0   12.4
  0.2139E+04  360.0   12.4
  0.1420E+04    0.0   12.4
  0.9286E+03    0.0   12.4
  0.6004E+03  360.0   12.4
  0.3853E+03  360.0   12.4
  0.2460E+03    0.0   12.4
  0.1564E+03  360.0   12.4
  0.9924E+02    0.0   12.4
  0.6284E+02  360.0   12.4
  0.3974E+02  360.0   12.4
  0.2510E+02  360.0   12.4
  0.1584E+02    0.0   12.4
  0.9980E+01    0.0   12.4
LOCATION     2
 -0.9900E+02 -999.0   -9.0
 -0.9900E+02 -999.0   -9.0
  0.2622E+01  360.0   13.1
  0.3161E+02  360.0   13.1
  0.1535E+03  360.0   13.1
  0.3975E+03    0.0   13.1
  0.6661E+03  360.0   13.1
  0.8261E+03    0.0   13.1
  0.8319E+03  360.0   13.1
  0.7254E+03    0.0   13.1
  0.5725E+03  360.0   13.1
  0.4217E+03    0.0   13.1
  0.2961E+03  360.0   13.1
  0.2012E+03  360.0   13.1
  0.1336E+03    0.0   13.1
  0.8736E+02    0.0   13.1
  0.5649E+02  360.0   13.1
  0.3625E+02  360.0   13.1
  0.2314E+02    0.0   13.1
  0.1472E+02  360.0   13.1
  0.9337E+01  360.0   13.1
  0.5912E+01  360.0   13.1
  0.3738E+01  360.0   13.1
  0.2361E+01  360.0   13.1
  0.1489E+01    0.0   13.1
  0.9386E+00    0.0   13.1
LOCATION     3
 -0.9900E+02 -999.0   -9.0
 -0.9900E+02 -999.0   -9.0
  0.2972E+01    0.0   14.7
  0.3583E+02  360.0   14.7
  0.1740E+03  360.0   14.7
  0.4506E+03    0.0   14.7
  0.7551E+03  360.0   14.7
  0.9364E+03    0.0   14.7
  0.9430E+03  360.0   14.7
  0.8222E+03    0.0   14.7
  0.6489E+03  360.0   14.7
  0.4780E+03    0.0   14.7
  0.3357E+03  360.0   14.7
  0.2281E+03  360.0   14.7
  0.1515E+03    0.0   14.7
  0.9903E+02    0.0   14.7
  0.6403E+02  360.0   14.7
  0.4109E+02  360.0   14.7
  0.2623E+02    0.0   14.7
  0.1668E+02  360.0   14.7
  0.1058E+02    0.0   14.7
  0.6701E+01  360.0   14.7
  0.4237E+01  360.0   14.7
  0.2676E+01  360.0   14.7
  0.1688E+01    0.0   14.7
  0.1064E+01    0.0   14.7
